"";"Site";"N_local";"S_local";"PIE_local";"S_pie_local";"N_gamma";"S_gamma";"PIE_gamma";"S_pie_gamma";"S_total"
"1";1;103;12;0,649152865029523;2,85024416711896;103;12;0,649152865029523;2,85024416711896;24,131
"2";2;217;20;0,740527393753226;3,85397138628553;217;20;0,740527393753226;3,85397138628553;44,885
"3";3;258;22;0,635447772449012;2,74309117987802;258;22;0,635447772449012;2,74309117987802;28,101
"4";4;166;13;0,539905074844805;2,17346452943964;166;13;0,539905074844805;2,17346452943964;18,964
"5";5;100;12;0,551571636152276;2,51270027125352;200;19;0,530452261306559;2,12970890410971;25,094
"6";6;242,5;13,5;0,298202018652653;1,42568452872818;485;19;0,294265996421556;1,41696445818038;23,158
"7";7;231;22,5;0,731681878328244;3,7762465733452;462;33;0,744804725281941;3,9185678539887;43,062
"8";8;214;22,5;0,460077697829158;1,86570504419872;428;32;0,456772965046305;1,84085094381439;37,543
"9";9;215;25,3333333333333;0,726931646911996;3,71185164273466;645;43;0,738981173864917;3,8311412812901;59,308
"10";10;158;20,6666666666667;0,561072879310815;3,2844050300323;474;39;0,597104396927765;2,48203254732643;46,185
"11";11;279,666666666667;20;0,464675085468125;2,0008574200323;839;35;0,469128778719928;1,88369600745871;52,979
